time,fmin_base,hF_base,foF2_base,fxI_base,fmin_artist,hF_artist,foF2_artist,fxI_artist,c_level
2022-01-01 00:00:00,2.0,210.0,8.2,8.6,2.5,223.0,8.2,8.6,11
2022-01-01 00:15:00,2.1,254.0,8.8,8.9,2.1,278.0,8.8,9.2,11
2022-01-01 00:30:00,2.1,256.5,8.5,9.2,2.9,315.0,8.4,8.8,11
2022-01-01 00:45:00,1.8,281.5,8.3,9.1,2.5,326.0,7.9,8.3,11
2022-01-01 01:00:00,2.1,311.0,7.6,7.7,2.9,337.0,7.2,7.6,11
2022-01-01 01:15:00,1.9,317.5,7.9,7.2,2.8,377.0,6.9,7.3,11
2022-01-01 01:30:00,2.1,328.0,8.9,8.2,2.2,377.0,5.7,6.5,11
2022-01-01 01:45:00,2.1,358.5,8.4,9.2,2.9,399.0,4.5,5.0,11
2022-01-01 02:00:00,2.1,361.0,9.2,9.9,3.7,458.0,7.2,7.6,11
2022-01-01 02:15:00,2.1,375.5,9.4,7.2,2.6,421.0,5.6,6.0,11
2022-01-01 02:30:00,2.2,396.5,6.8,6.8,3.0,473.0,4.4,4.9,11
2022-01-01 02:45:00,2.1,387.5,5.7,5.5,2.5,448.0,4.5,4.9,11
2022-01-01 03:15:00,2.1,381.0,5.3,5.3,,,,,55
2022-01-01 03:30:00,2.0,395.5,5.4,4.7,,,,,55
2022-01-01 03:45:00,2.2,398.5,5.3,4.6,,,,,55
2022-01-01 04:00:00,2.2,395.0,4.9,4.1,,,,,55
2022-01-01 04:15:00,2.4,420.0,5.2,4.5,,,,,55
2022-01-01 04:30:00,2.0,438.5,4.7,4.4,,,,,55
2022-01-01 04:45:00,1.9,416.5,4.2,4.0,,,,,55
2022-01-01 05:00:00,2.2,398.0,4.4,4.1,,,,,55
2022-01-01 05:15:00,2.1,394.0,4.4,4.1,,,,,55
2022-01-01 05:30:00,2.2,390.0,3.9,4.0,,,,,55
2022-01-01 05:45:00,2.1,390.5,4.2,4.0,,,,,55
2022-01-01 06:00:00,2.1,382.0,3.9,3.9,,,,,55
2022-01-01 06:15:00,2.0,373.0,3.8,4.1,,,,,55
2022-01-01 06:30:00,2.0,391.0,3.6,3.6,,,,,55
2022-01-01 06:45:00,2.1,390.0,3.6,3.5,,,,,55
2022-01-01 07:00:00,2.1,375.0,4.1,4.1,,,,,55
2022-01-01 07:15:00,2.1,368.5,4.1,3.5,,,,,55
2022-01-01 07:30:00,2.1,340.5,3.8,3.7,,,,,55
2022-01-01 07:45:00,2.1,315.5,3.9,3.9,,,,,55
2022-01-01 08:00:00,2.2,284.0,4.1,3.9,,,,,55
2022-01-01 08:15:00,2.1,242.5,3.6,3.8,,,,,55
2022-01-01 08:30:00,2.1,215.0,3.5,3.8,,,,,55
2022-01-01 08:45:00,2.1,211.5,3.4,3.5,,,,,55
2022-01-01 09:00:00,2.4,194.5,3.3,3.5,,,,,55
2022-01-01 09:15:00,2.2,233.5,3.1,3.7,,,,,55
2022-01-01 09:30:00,2.4,247.0,2.9,3.1,,,,,55
2022-01-01 09:45:00,2.1,255.0,2.7,2.9,,,,,55
2022-01-01 10:00:00,1.9,246.0,2.3,2.6,,,,,55
2022-01-01 10:15:00,,,,2.6,,,,,55
2022-01-01 10:30:00,2.2,271.0,3.1,3.3,,,,,55
2022-01-01 10:45:00,2.6,215.0,3.8,4.1,,,,,55
2022-01-01 11:00:00,2.55,176.0,4.7,4.9,2.5,226.0,4.6,5.0,21
2022-01-01 11:15:00,2.2,170.5,5.4,5.7,2.7,235.0,4.5,4.9,21
2022-01-01 11:30:00,2.55,165.0,6.2,7.2,2.5,228.0,5.9,6.4,11
2022-01-01 11:45:00,2.55,155.0,8.2,7.0,2.5,197.0,6.725,7.1,11
2022-01-01 12:00:00,2.55,152.0,7.1,7.2,2.6,218.0,6.95,7.3,11
2022-01-01 12:15:00,2.8,160.0,7.3,8.6,2.3,,,,55
2022-01-01 12:30:00,3.2,190.0,9.2,8.6,3.9,220.0,8.0,8.4,21
2022-01-01 12:45:00,3.0,180.0,8.0,8.8,4.3,260.0,7.8,8.2,31
2022-01-01 13:00:00,3.3,187.0,8.0,8.3,3.8,228.0,7.9,8.3,21
2022-01-01 13:15:00,4.0,223.0,8.7,8.5,5.4,302.0,8.4,8.8,41
2022-01-01 13:30:00,3.6,213.0,9.1,8.8,4.6,305.0,8.5,8.9,31
2022-01-01 13:45:00,4.1,254.0,8.7,9.4,4.7,305.0,8.3,8.7,21
2022-01-01 14:00:00,4.3,250.0,8.9,9.0,5.5,325.0,8.9,9.3,31
2022-01-01 14:15:00,4.1,269.0,10.3,9.5,5.6,339.0,8.2,8.6,31
2022-01-01 14:30:00,6.0,300.0,8.5,3.1,,,,,55
2022-01-01 14:45:00,6.8,220.0,8.8,9.2,6.8,410.0,7.9,8.4,51
2022-01-01 15:00:00,5.7,310.5,8.9,9.0,5.8,374.0,7.9,8.4,41
2022-01-01 15:15:00,6.0,299.5,9.3,9.3,5.5,363.0,8.3,8.7,31
2022-01-01 15:30:00,4.9,295.0,8.9,9.0,5.9,360.0,8.5,8.9,41
