time,fmin_base,hF_base,foF2_base,fxI_base,fmin_artist,hF_artist,foF2_artist,fxI_artist,c_level
2022-01-01 00:00:00,2.45,275.0,3.6,4.3,2.2,265.0,3.75,4.3,11
2022-01-01 00:15:00,2.4,270.0,3.65,4.3,2.0,,,,44
2022-01-01 00:30:00,2.6,290.0,3.65,4.8,1.7,,,,44
2022-01-01 00:45:00,2.45,279.75,3.65,4.35,1.8,260.0,3.7,4.4,11
2022-01-01 01:00:00,2.1,265.5,4.15,4.35,1.6,255.0,3.7,4.45,11
2022-01-01 01:15:00,2.2,266.0,4.3,4.35,1.9,260.0,3.75,4.35,11
2022-01-01 01:30:00,2.5,275.0,3.7,5.3,2.1,262.5,3.7,4.35,11
2022-01-01 01:45:00,2.5,280.75,3.65,4.3,2.1,267.5,3.65,4.3,22
2022-01-01 02:00:00,2.45,204.5,3.55,4.2,1.75,270.0,3.5,4.2,11
2022-01-01 02:15:00,2.2,273.00000000000006,4.5,4.1,1.85,285.0,3.45,4.15,22
2022-01-01 02:30:00,2.5,317.0,3.4,4.0,2.05,300.0,3.4,4.05,22
2022-01-01 02:45:00,2.15,310.75,3.3,4.25,1.9,302.5,3.3,4.0,11
2022-01-01 03:00:00,2.75,328.0,3.35,4.0,2.35,305.0,3.4,4.0,11
2022-01-01 03:15:00,2.55,302.5,3.45,4.25,2.2,287.5,3.4,4.1,22
2022-01-01 03:30:00,2.4,272.5,3.45,4.1,1.95,257.5,3.45,4.15,11
2022-01-01 03:45:00,2.45,269.75,3.4,4.4,1.85,247.5,3.4,4.05,22
2022-01-01 04:00:00,2.15,250.0,4.2,4.05,2.15,252.5,3.4,4.1,22
2022-01-01 04:15:00,2.45,205.0,5.15,4.3,1.7,232.5,3.5,4.25,11
2022-01-01 04:30:00,2.7,245.25,4.05,4.2,1.8,222.5,3.45,4.25,11
2022-01-01 04:45:00,2.2,227.5,3.45,4.1,1.85,220.0,3.45,4.15,11
2022-01-01 05:00:00,2.15,220.0,3.2,4.4,2.0,217.5,3.2,3.85,11
2022-01-01 05:15:00,2.2,241.5,3.0,3.7,2.1,237.5,3.05,3.7,22
2022-01-01 05:30:00,2.45,257.75,3.0,3.65,1.75,227.5,3.05,3.75,22
2022-01-01 05:45:00,2.85,190.0,3.0,4.25,2.0,230.0,2.9,3.65,11
2022-01-01 06:00:00,2.1,244.25,3.0,3.7,1.6,220.0,3.05,3.65,11
2022-01-01 06:15:00,2.45,253.25,3.5,5.2,1.65,217.5,3.5,4.1,22
2022-01-01 06:30:00,2.2,225.0,4.05,4.8,1.95,217.5,4.05,4.85,22
2022-01-01 06:45:00,2.45,215.0,5.05,5.6,1.95,215.0,5.0,5.75,11
2022-01-01 07:00:00,2.35,207.5,6.6,6.6,2.35,210.0,5.9,6.6,22
2022-01-01 07:15:00,2.5,200.0,6.35,6.7,2.4,202.5,6.25,7.05,11
2022-01-01 07:30:00,2.65,202.5,6.3,6.75,2.65,202.5,6.3,6.8,11
2022-01-01 07:45:00,2.6,197.5,6.15,6.7,2.6,200.0,6.1,6.8,11
2022-01-01 08:00:00,2.65,205.0,6.5,6.6,2.9,205.0,5.95,6.7,11
2022-01-01 08:15:00,2.9,205.0,6.15,6.75,2.15,205.0,6.15,6.85,22
2022-01-01 08:30:00,3.65,205.0,6.05,6.35,2.15,207.5,6.05,6.55,22
2022-01-01 08:45:00,3.0,210.0,6.75,6.8,2.45,210.0,6.25,6.9,22
2022-01-01 09:00:00,2.9,212.5,8.0,7.5,2.4,210.0,6.95,7.55,11
2022-01-01 09:15:00,3.9,222.5,7.9,7.55,2.5,210.0,6.95,8.0,22
2022-01-01 09:30:00,3.85,227.5,7.55,7.55,2.5,207.5,6.875,7.6,22
2022-01-01 09:45:00,4.05,230.0,7.95,8.4,2.55,215.0,7.663,8.45,11
2022-01-01 10:00:00,3.3,217.5,7.5,8.15,2.5,210.0,7.563,8.15,33
2022-01-01 10:15:00,3.2,215.0,7.55,8.05,2.5,212.5,7.425,8.1,11
2022-01-01 10:30:00,3.25,205.25,6.75,7.45,2.5,197.5,6.875,7.3,22
2022-01-01 10:45:00,3.85,220.0,6.75,6.75,2.25,195.0,6.463,7.15,33
2022-01-01 11:00:00,3.15,187.5,6.5,14.5,2.35,187.5,6.575,7.2,33
2022-01-01 11:15:00,3.05,203.0,6.45,6.4,2.45,217.5,6.35,7.0,22
2022-01-01 11:30:00,3.3,189.25,4.85,,2.5,185.0,6.375,6.9,33
2022-01-01 11:45:00,3.45,217.5,6.15,6.85,3.25,182.5,6.175,6.9,11
2022-01-01 12:00:00,5.1,238.0,6.15,7.15,2.45,227.5,5.8,6.25,11
