foF2,foF1,M3000F2,MUF3000F2,fmin,foEs,fminF,fminE,foE,fxI,hF,hF2,hE,hEs,zmE,yE,QF,QE,DownF,DownE,DownEs,FF,FE,D,fMUF,h_fMUF,delta_foF2,foEp,f_hF,f_hF2,foF1p,hmF2,hmF1,zhalfNm,foF2p,fminEs,yF2,yF1,TEC,scaleF2,B0,B1,D1,datetime,file,n_profile
8.2,,2.676,21.941,2.5,,2.5,,,8.6,223.0,,,,110.0,20.0,,,0.0,,,,,3000.0,8.2,505.0,0.0,0.647,3.1,,,369.9,,290.955,7.446,,114.377,,19.632,54.615,136.0,1.16,0.0,2022-01-01 00:00:00,JI91J_2022001000000.SAO,95
8.8,,2.45,21.558,2.1,,2.1,,,9.2,278.0,,,,110.0,20.0,,,0.0,,,,,3000.0,8.7,570.0,0.0,0.472,2.1,,,421.9,,327.896,7.26,,137.326,,27.662,67.687,143.0,1.59,0.0,2022-01-01 00:15:00,JI91J_2022001001500.SAO,95
8.4,,2.431,20.418,2.9,,2.9,,,8.8,315.0,,,,110.0,20.0,,,0.0,,,,,3000.0,8.1,555.0,0.0,0.359,2.9,,,445.2,,353.604,7.063,,134.098,,24.953,67.145,137.3,1.74,0.0,2022-01-01 00:30:00,JI91J_2022001003000.SAO,95
7.9,,2.423,19.144,2.5,,2.5,,,8.3,326.0,,,,110.0,20.0,,,0.0,,,,,3000.0,7.9,590.0,0.0,0.354,2.7,,,456.0,,366.497,6.861,,131.283,,21.668,65.648,135.8,1.69,0.0,2022-01-01 00:45:00,JI91J_2022001004500.SAO,95
7.2,,2.444,17.594,2.9,,2.9,,,7.6,337.0,,,,110.0,20.0,,,0.0,,,,,3000.0,7.1,570.0,0.0,0.354,3.2,,,447.4,,366.484,6.659,,119.135,,16.313,59.03,128.1,1.51,0.0,2022-01-01 01:00:00,JI91J_2022001010000.SAO,95
6.9,,2.251,15.529,2.8,,2.8,,,7.3,377.0,,,,110.0,20.0,,,0.0,,,,,3000.0,6.9,660.0,0.0,0.354,3.3,,,486.9,,386.068,6.462,,146.889,,18.557,74.011,149.3,1.79,0.0,2022-01-01 01:15:00,JI91J_2022001011500.SAO,95
5.7,,2.847,16.228,2.2,,2.2,,,6.5,377.0,,,,110.0,20.0,,,0.0,,,0.4,,3000.0,5.3,405.0,0.0,0.354,2.9,,,402.1,,357.742,6.274,,65.156,,6.203,35.672,63.6,2.3,0.0,2022-01-01 01:30:00,JI91J_2022001013000.SAO,80
4.5,,2.611,11.751,2.9,,2.9,,,5.0,399.0,,,,110.0,20.0,,,0.0,,,0.1,,3000.0,4.5,525.0,0.0,0.354,3.1,,,411.0,,346.825,6.098,,93.575,,5.205,48.014,98.1,1.71,0.0,2022-01-01 01:45:00,JI91J_2022001014500.SAO,92
7.2,,2.437,17.545,3.7,,3.7,,,7.6,458.0,,,,110.0,20.0,,,0.0,,,,,3000.0,7.2,585.0,0.0,0.354,3.9,,,483.1,,423.2,5.937,,91.577,,12.783,44.048,107.7,1.08,0.0,2022-01-01 02:00:00,JI91J_2022001020000.SAO,95
5.6,,2.518,14.101,2.6,,2.6,,,6.0,421.0,,,,110.0,20.0,5.0,,0.0,,,,,3000.0,5.4,525.0,0.0,0.354,3.1,,,462.5,,409.989,5.789,,79.059,,6.96,39.927,89.5,1.28,0.0,2022-01-01 02:15:00,JI91J_2022001021500.SAO,91
4.4,,2.611,11.49,3.0,,3.0,,,4.9,473.0,,,,110.0,20.0,,,0.0,,,0.1,,3000.0,4.4,525.0,0.0,0.354,3.7,,,430.1,,386.533,5.654,,66.605,,3.575,31.723,84.9,1.0,0.0,2022-01-01 02:30:00,JI91J_2022001023000.SAO,75
4.5,,2.643,11.894,2.5,,2.5,,,4.9,448.0,,,,110.0,20.0,10.0,,0.0,,,,,3000.0,4.5,515.0,0.0,0.354,2.8,,,431.4,,386.37,5.527,,68.121,,3.959,34.604,81.2,1.13,0.0,2022-01-01 02:45:00,JI91J_2022001024500.SAO,79
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 03:15:00,JI91J_2022001031500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 03:30:00,JI91J_2022001033000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 03:45:00,JI91J_2022001034500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 04:00:00,JI91J_2022001040000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 04:15:00,JI91J_2022001041500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 04:30:00,JI91J_2022001043000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 04:45:00,JI91J_2022001044500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 05:00:00,JI91J_2022001050000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 05:15:00,JI91J_2022001051500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 05:30:00,JI91J_2022001053000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 05:45:00,JI91J_2022001054500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 06:00:00,JI91J_2022001060000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 06:15:00,JI91J_2022001061500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 06:30:00,JI91J_2022001063000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 06:45:00,JI91J_2022001064500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 07:00:00,JI91J_2022001070000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 07:15:00,JI91J_2022001071500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 07:30:00,JI91J_2022001073000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 07:45:00,JI91J_2022001074500.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 08:00:00,JI91J_2022001080000.SAO,0
,,,,,,,,,,,,,,0.0,,,,,,,,,3000.0,,,,0.354,,,,,,,,,,,,,,,,2022-01-01 08:15:00,JI91J_2022001081500.SAO,0
