foF2,foF1,M3000F2,MUF3000F2,fmin,foEs,fminF,fminE,foE,fxI,hF,hF2,hE,hEs,zmE,yE,QF,QE,DownF,DownE,DownEs,FF,FE,D,fMUF,h_fMUF,delta_foF2,foEp,f_hF,f_hF2,foF1p,hmF2,hmF1,zhalfNm,foF2p,fminEs,yF2,yF1,TEC,scaleF2,B0,B1,D1,foEa,hEa,foP,hP,fbEs,typeEs,datetime,file,n_profile
3.75,,2.994,11.227,2.2,,2.2,,,4.3,265.0,265.0,,,,,,,,,,0.5,,,3.35,348.191,,0.357,2.2,2.2,,329.455,,264.948,2.714,,90.685,,3.534,49.951,71.11,5.56,,,,,,,,2022-01-01 00:00:00,RO041_2022001000000.SAO,162
,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.357,,,,,,,2.783,2.0,,,2.274,,,,,,,,,,,2022-01-01 00:15:00,RO041_2022001001500.SAO,0
,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,0.357,,,,,,,2.843,1.7,,,1.614,,,,,,,,,,,2022-01-01 00:30:00,RO041_2022001003000.SAO,0
3.7,,3.112,11.514,1.8,,1.8,,,4.4,260.0,260.0,,,,,,,,,,0.1,,,3.45,350.0,,0.357,1.8,1.8,,303.248,,257.379,2.891,,64.925,,2.449,35.009,54.09,4.01,,,,,,,,2022-01-01 00:45:00,RO041_2022001004500.SAO,121
3.7,,3.132,11.59,1.6,,1.6,,,4.45,255.0,255.0,,,,,,,,,,0.15,,,3.4,337.423,,0.357,1.6,1.6,,302.536,,254.691,2.921,,67.745,,2.557,36.636,56.03,4.18,,,,,,,,2022-01-01 01:00:00,RO041_2022001010000.SAO,127
3.75,,3.177,11.915,1.9,,1.9,,,4.35,260.0,260.0,,,,,,,,,,0.1,,,3.45,330.651,,0.357,1.9,1.9,,297.288,,256.215,2.931,,58.147,,2.264,31.469,48.31,3.9,,,,,,,,2022-01-01 01:15:00,RO041_2022001011500.SAO,112
3.7,,3.179,11.761,2.1,,2.1,,,4.35,262.5,262.5,,,,,,,,,,0.1,,,3.45,337.974,,0.357,2.1,2.1,,296.221,,257.561,2.919,,54.766,,2.089,29.746,45.49,3.96,,,,,,,,2022-01-01 01:30:00,RO041_2022001013000.SAO,111
3.65,,3.156,11.519,2.1,,2.1,,,4.3,267.5,267.5,,,,,,,,,,0.15,,,3.35,333.532,0.0,0.357,2.15,2.15,,298.46,,261.344,2.884,,52.68,,1.946,28.277,45.2,3.56,,,,,,,,2022-01-01 01:45:00,RO041_2022001014500.SAO,108
3.5,,3.086,10.802,1.75,,1.75,,,4.2,270.0,270.0,,,,,,,,,,0.05,,,3.25,352.769,,0.357,1.75,1.75,,307.686,,265.499,2.827,,59.949,,2.018,31.775,53.78,3.0,,,,,,,,2022-01-01 02:00:00,RO041_2022001020000.SAO,116
3.45,,2.95,10.176,1.85,,1.85,,,4.15,285.0,285.0,,,,,,,,,,0.2,,,3.15,371.244,,0.357,1.85,1.85,,328.898,,275.658,2.753,,75.537,,2.488,40.684,64.3,3.59,,,,,,,,2022-01-01 02:15:00,RO041_2022001021500.SAO,139
3.4,,2.981,10.137,2.05,,2.05,,,4.05,300.0,300.0,,,,,,,,,,0.1,,,3.2,381.688,0.0,0.357,2.05,2.05,,323.863,,278.807,2.666,,64.369,,2.069,34.185,61.55,2.46,,,,,,,,2022-01-01 02:30:00,RO041_2022001023000.SAO,124
3.3,,2.999,9.897,1.9,,1.9,,,4.0,302.5,302.5,,,,,,,,,,0.15,,,3.1,377.69,,0.357,1.9,1.9,,323.203,,278.159,2.571,,64.435,,1.962,34.417,61.73,2.49,,,,,,,,2022-01-01 02:45:00,RO041_2022001024500.SAO,124
3.4,,2.969,10.096,2.35,,2.35,,,4.0,305.0,305.0,,,,,,,,,,0.15,,,3.15,375.0,0.0,0.357,2.35,2.35,,323.878,,278.78,2.476,,64.402,,2.071,34.225,61.17,2.51,,,,,,,,2022-01-01 03:00:00,RO041_2022001030000.SAO,124
3.4,,3.102,10.548,2.2,,2.2,,,4.1,287.5,287.5,,,,,,,,,,0.1,,,3.2,358.254,0.0,0.357,2.2,2.2,,305.91,,267.746,2.386,,54.48,,1.753,28.932,51.55,2.53,,,,,,,,2022-01-01 03:15:00,RO041_2022001031500.SAO,109
3.45,,3.189,11.003,1.95,,1.95,,,4.15,257.5,257.5,,,,,,,,,,0.15,,,3.2,333.157,,0.357,1.95,1.95,,292.623,,252.93,2.31,,56.193,,1.858,30.44,46.77,3.87,,,,,,,,2022-01-01 03:30:00,RO041_2022001033000.SAO,110
